Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
612,25.53,19.9,4144,673,130,3,86
613,24.08,18.9,4237,565,148,0,83
614,24.38,18.9,4456,337,156,1,93
615,23.34,18.7,4522,311,117,0,76
616,23.29,18.3,4613,162,175,0,86
617,22.74,17.6,4707,141,101,1,92
618,21.84,17.1,4656,196,96,2,97
619,20.96,16.5,4736,171,43,0,92
620,19.18,15.5,4602,243,105,0,93
621,20.35,16.3,4493,268,189,0,95
622,21.18,16.9,4478,322,149,1,98
623,21.15,16.9,4427,347,176,0,94
624,21.29,16.7,4445,324,180,1,99
625,21.47,16.8,4491,289,160,10,96
626,21.05,16.4,4638,197,115,0,96
627,21.35,16.8,4622,216,111,1,91
628,21.33,16.9,4560,260,130,0,88
629,21.84,17.5,4445,238,267,0,94
630,22.59,17.3,4445,266,239,0,91
631,20.7,16.6,4575,202,173,0,87
632,21.37,16.4,4720,170,60,0,88
633,20.45,16.2,4707,184,59,0,91
634,19.81,16.0,4724,158,68,0,95
635,20.92,16.7,4517,278,154,1,84
636,20.68,16.6,4593,263,94,0,91
637,21.08,16.5,4606,245,99,0,91
638,21.37,17.0,4469,322,159,0,94
639,22.06,17.7,4425,331,190,4,95
640,23.2,18.9,4092,549,308,1,92
641,22.32,18.0,4324,415,210,1,95
642,22.79,18.2,4156,586,206,2,91
643,21.41,17.8,4486,315,148,1,91
644,23.04,18.7,4327,328,294,1,85
645,23.49,18.8,4551,247,140,12,91
646,24.58,19.9,4586,173,176,15,81
647,24.39,20.0,4598,219,130,3,81
648,23.7,19.6,4562,232,142,14,86
649,24.38,19.7,4623,165,161,1,84
650,23.47,19.2,4546,259,142,3,81
651,24.66,20.2,4304,412,231,3,91
652,24.65,19.9,4308,290,350,2,88
653,26.01,21.1,4207,394,347,2,86
654,23.06,19.1,4406,366,167,11,86
655,22.94,18.3,4476,362,111,1,85
656,23.51,18.4,4379,423,148,0,78
657,23.45,18.3,4485,327,137,1,76
658,21.98,17.6,4636,179,133,2,82
659,21.33,17.7,4724,156,70,0,87
660,22.07,17.7,4770,117,63,0,90
661,21.6,17.0,4838,78,32,2,87
662,23.02,18.0,4811,112,27,0,88
663,21.36,17.4,4840,70,35,5,89
664,21.71,16.9,4849,58,42,1,85
665,22.52,18.0,4791,72,81,6,74
666,21.86,17.7,4764,65,121,0,87
667,21.62,17.4,4784,62,104,0,80
668,21.21,17.4,4770,134,46,0,77
669,20.8,16.8,4785,104,61,0,88
670,21.28,16.1,4822,93,35,0,74
671,19.19,15.6,4865,50,34,1,85
672,20.08,16.5,4817,86,46,1,92
673,21.57,17.1,4838,70,42,0,92
674,23.18,18.1,4697,158,95,0,88
675,21.66,16.4,4784,108,58,0,96
676,22.22,16.3,4762,115,73,0,99
677,21.7,16.1,4763,114,73,0,96
678,21.43,16.4,4743,100,107,0,98
679,21.31,16.5,4778,101,71,0,97
680,20.51,16.1,4778,109,63,0,99
681,21.12,16.2,4806,21,123,0,98
682,22.08,17.1,4701,50,199,0,98
683,22.22,17.6,4669,22,259,0,99
684,21.8,16.6,4824,4,122,0,99
685,22.5,17.2,4798,4,148,0,99
686,21.72,16.8,4864,12,74,0,99
687,20.71,16.5,4900,16,31,3,98
688,21.23,16.0,4924,4,22,0,99
689,20.94,15.7,4924,13,13,0,98
690,19.47,15.3,4921,11,18,0,99
691,19.44,15.8,4935,5,10,0,97
692,20.16,16.1,4920,12,18,0,99
693,21.5,16.7,4917,13,20,0,99
694,20.69,16.0,4922,11,17,0,99
695,20.89,16.1,4933,7,10,0,98
696,20.68,15.9,4896,22,32,0,99
697,19.72,15.6,4913,13,24,0,99
698,19.97,15.8,4938,4,8,0,99
699,19.84,15.6,4946,2,2,0,99
700,18.69,15.0,4942,4,4,0,98
701,18.81,15.4,4929,11,10,0,98
702,14.42,15.2,4929,2,19,0,96
703,18.2,15.1,4932,13,5,0,99
704,18.48,14.6,4933,6,11,0,98
705,18.94,14.5,4925,17,8,0,98
706,20.76,15.2,4920,20,10,0,98
707,19.69,15.1,4916,22,12,0,99
708,20.94,15.7,4874,41,35,0,98
709,21.4,15.9,4932,11,7,0,98
710,21.74,16.5,4896,41,13,0,98
711,21.21,16.3,4940,7,3,0,98
712,20.65,16.3,4913,30,4,3,96
713,21.73,16.6,4867,47,35,1,94
714,20.96,16.6,4861,70,19,0,93
715,22.72,17.1,4860,62,28,0,95
716,21.73,16.9,4874,37,39,0,97
717,21.4,16.6,4848,43,59,0,99
718,21.04,16.3,4875,51,24,0,99
719,21.82,16.8,4811,56,80,3,96
720,20.93,16.3,4846,47,57,0,99
721,21.13,16.4,4840,51,59,0,97
722,21.24,16.3,4802,126,22,0,92
723,21.21,16.0,4811,105,33,1,91
724,21.82,16.6,4838,74,38,0,91
725,21.99,16.5,4787,115,48,0,91
