Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
181,40.43,18.0,2757,5931,1206,6,1976.0,241.625
182,37.26,17.5,2885,5958,1054,3,1663.5,128.45
183,35.26,17.6,3085,5730,1083,2,1689.0,35.535
184,34.99,17.5,2705,6161,1024,10,2054.5,207.325
185,35.17,17.6,2597,6198,1100,5,2002.0,293.725
186,34.58,17.1,2192,6635,1072,1,2167.5,419.795
187,35.69,17.8,2581,5800,1511,8,2004.5,305.375
188,34.69,17.4,2571,5875,1442,12,1781.5,260.34
189,34.1,17.4,2288,6102,1500,10,1731.5,383.53
190,32.1,17.7,2007,6024,1864,5,2219.5,592.14
191,30.92,17.4,2019,5623,2254,4,2504.0,545.515
192,34.96,18.3,1870,5449,2579,2,2675.0,729.6
193,31.74,17.9,1823,5829,2242,6,2496.5,690.08
194,38.57,19.4,2721,4833,2340,6,2686.5,446.675
195,33.4,18.8,1990,5591,2316,3,2402.5,764.61
196,34.2,19.2,2220,5647,2029,4,2215.5,684.905
197,33.44,19.0,1926,6092,1879,3,2625.5,803.065
198,31.85,17.9,2525,6502,872,1,1969.5,345.985
199,33.04,17.4,2952,6186,759,3,1721.5,76.11
